cseq,mapX,mapY,useyn
2651,129.159661,36.0652321,y
2652,128.1067125,37.864023,y
2653,127.8882937,38.0338468,y
2654,128.9198158,35.858013,y
2655,128.6755331,37.1078541,y
2656,127.1322694,37.6354686,y
2657,128.205642,37.0626916,y
2658,126.4683211,37.2801027,y
2659,127.3485769,36.0296611,y
2660,127.972329,37.1139727,y
2661,127.6244105,37.7749213,y
2662,128.1545308,37.0100258,y
2663,126.9477585,38.0369005,y
2664,127.489931,37.661018,y
2665,126.6011272,35.3168536,y
2666,128.1192188,35.851937,y
2667,128.1438279,35.8036003,y
2668,128.8763536,37.832399,y
2669,126.3826019,36.9387184,y
2670,126.7619624,37.3894791,y
2671,127.7240007,35.7612032,y
2672,128.9124501,37.7968122,y
2673,127.486834,37.845259,y
2674,127.5184915,38.0598,y
2675,128.5159794,37.9639747,y
2676,129.002477,35.663101,y
2677,128.0638997,37.2108676,y
